No,회사,제목,지역,상세보기
1,프라메종 주식회사,목조 주택 목수 및 내장목수 모집,경기 여주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090001448&src=etc*search
2,준아트(유),목수 (목재 작업 가능자) 구인,전남 영암군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300004309&src=etc*search
3,시크리트,목수 모집 (목재 판매 회사),경기 용인시 처인구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080001403&src=etc*search
4,(주)성풍건설,"호남고속철도 현장 철근공, 목수 구합니다.",전남 무안군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010004137&src=etc*search
5,주식회사 하나큐브,컨테이너 (목수)내장공 모집합니다,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020000669&src=etc*search
6,(주)로담신한옥,목수 기공/조공 채용 - 조립식 목조 주택 벽체 및 지붕틀 제작,울산 울주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260002880&src=etc*search
7,(주)로담신한옥,목수 기공/조공 채용 - 조립식 목조 주택 벽체 및 지붕틀 제작,충북 음성군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260003087&src=etc*search
8,다올이앤씨(주),다올이앤씨(주) 새만금 지역간 연결도로 건설사업 2공구 현장 철근공 모집,전북 부안군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290004855&src=etc*search
9,삼창씨앤에스(주),컨테이너공장 현장에서 근무할 인원 구합니다,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002849&src=etc*search
10,대성쇼파천갈이,[DS SOFA] 가구공장 생산직 구인공고,충남 천안시 동남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260003377&src=etc*search
11,미엔우드가구 주식회사,원목 가구 생산 및 조립 사원 추가 증원 모집,경기 포천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090000617&src=etc*search
12,주식회사 글렘컴퍼니,"인테리어(도어, 몰딩, 목공) 시공팀 경력직 모집",경기 안산시 상록구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070002543&src=etc*search
